Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"frūx, frūgis, {f.}",fruit,0,Noun,,fruit,1
"fugiō, fugere, fūgī, fugitum",to flee,177,Verb,,to flee,1
"Gāius, Gāiī, {m.}","the given name of Gāius Mūcius, a Roman hero",0,Noun,,"the given name of Gāius Mūcius, a Roman hero",1
"gerō, gerere, gessī, gestum","to carry; to wear {(of clothing, *vestīmenta*)}; to wage {(of war, *bellum*)}; to accomplish {(of deeds, *rēs*)}",237,Verb,,"to carry ‖ to wear {(of clothing, *vestīmenta*)} ‖ to wage {(of war, *bellum*)} ‖ to accomplish {(of deeds, *rēs*)}",1
"gladius, gladiī, {m.}",sword,862,Noun,,sword,1
"gravis, grave","heavy; {(adverb, *graviter*)} severely",140,Adjective,,"heavy ‖ {(adverb, *graviter*)} severely",1
"habeō, habēre, habuī, habitum",to have,39,Verb,,to have,1
"habitō, habitāre, habitāvī, habitātum",to live,0,Verb,,to live,1
haud,"hardly, not at all",226,Adverb,,"hardly, not at all",1
herī,yesterday,0,Adverb,,yesterday,1
"hic, haec, hoc",this {(demonstrative pronoun)},7,"Adjective, Pronoun",,this {(demonstrative pronoun)},1
"hiems, hiemis, {f.}",winter; storm,803,Noun,,winter ‖ storm,1
hodiē,today,981,Adverb,,today,1
"homō, hominis, {m.}",person,88,Noun,,person,1
"honor, honōris, {m.}",honor,290,Noun,,honor,1
"Horātius, Horātiī, {m.}",a Roman hero,0,Noun,,a Roman hero,1
"hostis, hostis, {m./f.}",enemy,93,Noun,,enemy,1
"hūmānus, hūmāna, hūmānum",human (as an adjective),355,Adjective,,human (as an adjective),1
"humus, humī, {f.}","earth, ground",740,Noun,,"earth, ground",1
"iaciō, iacere, iēcī, iactum",to throw,899,Verb,,to throw,1
iam,now; already,34,Adverb,,now ‖ already,1
"ignis, ignis, {m.}",fire,151,Noun,,fire,1
"ille, illa, illud",that (guy/gal/thing); he/she/it,8,"Adjective, Pronoun",,that (guy/gal/thing) ‖ he/she/it,1
"imāgō, imāginis, {f.}","image, picture",754,Noun,,"image, picture",1
"imperium, imperiī, {n.}","command, supreme power",200,Noun,,"command, supreme power",1
"imperō, imperāre, imperāvī, imperātum",to command,602,Verb,,to command,1
in,"in, on {(with ablative)}; into, onto, against, to {(with accusative)}; [[*in diēs* ""into days"" → ""day by day""]]",5,Preposition,,"in, on {(with ablative)} ‖ into, onto, against, to {(with accusative)} ‖ [[*in diēs* ""into days"" → ""day by day""]]",1
"incendō, incendere, incendī, incēnsum","to set on fire, kindle",0,Verb,,"to set on fire, kindle",1
"incipiō, incipere, incēpī, inceptum",to begin,411,Verb,,to begin,1
"īnfāns, īnfantis, {m./f.}",young child,0,"Noun, Adjective",,young child,1
"īnferī, īnferōrum, {m. pl.}",the Underworld,428,Adjective,,the Underworld,1
"ingēns, {(gen.)} ingentis",huge,202,Adjective,,huge,1
"inimīcus, inimīca, inimīcum",hostile,952,Adjective,,hostile,1
"inopia, inopiae, {f.}",scarcity,0,Noun,,scarcity,1
"inquam, inquis, inquit",to say,163,Verb,,to say,1
"īnsomnia, īnsomniae, {f.}",sleeplessness,0,Noun,,sleeplessness,1
"īnsula, īnsulae, {f.}",island; apartment complex,908,Noun,,island ‖ apartment complex,1
"intellegō, intellegere, intellēxī, intellēctum",understand (intelligent),512,Verb,,understand (intelligent),1
inter,"between, among",64,Preposition,,"between, among",1
"interficiō, interficere, interfēcī, interfectum",to kill,699,Verb,,to kill,1
"intrō, intrāre, intrāvī, intrātum",to enter,766,Verb,,to enter,1
"invādō, invādere, invāsī, invāsum","to attack; to overtake {(of a feeling or misfortune, with an abstract subject)}",0,Verb,,"to attack ‖ to overtake {(of a feeling or misfortune, with an abstract subject)}",1
"investīgō, investīgāre, investīgāvī, investīgātum",investigate,0,Verb,,investigate,1
"invidia, invidiae, {f.}",envy,707,Noun,,envy,1
"ipse, ipsa, ipsum","himself, herself, itself",22,"Adjective, Pronoun",,"himself, herself, itself",1
"īra, īrae, {f.}",anger,187,Noun,,anger,1
"īrātus, īrāta, īrātum",angry,809,Adjective,,angry,1
"is, ea, id",he / she / it; that,13,"Adjective, Pronoun",,he / she / it; that,1
ita,so,120,Adverb,,so,1
"Ītalia, Ītaliae, {f.}",Italia,0,Noun,,Italia,1
itaque,therefore,208,Conjunction,,therefore,1
"iter, itineris, {n.}",journey,230,Noun,,journey,1
iterum,again,758,Adverb,,again,1
"iubeō, iubēre, iussī, iussum",to order,84,Verb,,to order,1
"iūdex, iūdicis, {m.}",judge,839,Noun,,judge,1
"iūdicium, iūdiciī, {n.}",judgment; trial,749,Noun,,judgment ‖ trial,1
"iūstitia, iūstitiae, {f.}",justice,0,Noun,,justice,1
"labōrō, labōrāre, labōrāvī, labōrātum",work hard,900,Verb,,work hard,1
"lacrima, lacrimae, {f.}",tear,354,Noun,,tear,1
"lacrimō, lacrimāre, lacrimāvī, lacrimātum",to cry,0,Verb,,to cry,1
"laetus, laeta, laetum",joyful,262,Adjective,,joyful,1
"latrō, latrōnis, {m.}",robber,0,Noun,,robber,1
"laudō, laudāre, laudāvī, laudātum",to praise,435,Verb,,to praise,1
"lectus, lectī, {m.}","bed, couch",0,Noun,,"bed, couch",1
"lēgātus, lēgātī, {m.}",envoy,464,Noun,,envoy,1
"legō, legere, lēgī, lēctum",to gather,419,Verb,,to gather,1
"levis, leve",light,220,Adjective,,light,1
"lēx, lēgis, {f.}",law,264,Noun,,law,1
libenter,gladly,0,Adverb,,gladly,1
"liber, librī, {m.}",book,901,Noun,,book,1
"līber, lībera, līberum",free,0,Adjective,,free,1
"līberī, līberōrum, {m. pl.}",children,0,Noun,,children,1
"līberō, līberāre, līberāvī, līberātum",to free,0,Verb,,to free,1
"licet, licēre, licuit",it is permitted,175,"Verb, Conjunction",,it is permitted,1
"ligō, ligāre, ligāvī, ligātum","to bind, tie",0,Verb,,"to bind, tie",1
"lingua, linguae, {f.}",tongue; language,732,Noun,,tongue ‖ language,1
"lītus, lītoris, {n.}",shore,245,Noun,,shore,1
"locus, locī, {m.} {(n. pl.} loca{)}",place,62,Noun,,place,1
"longus, longa, longum",long,142,Adjective,,long,1
"loquor, loquī, locūtus sum",to speak,310,Verb,,to speak,1
"Lucrētia, Lucrētiae, {f.}",Lucretia,0,Noun,,Lucretia,1
"lūdō, lūdere, lūsī, lūsum",to play,0,Verb,,to play,1
macte,well done!,0,Interjection,,well done!,1
magis,more,90,Adverb,,more,1
"magister, magistrī, {m.}",teacher,933,Noun,,teacher,1
"magistrātus, magistrātūs, {m.}",magistrate {(someone holding public office)},0,Noun,,magistrate {(someone holding public office)},1
"magnus, magna, magnum",great,25,Adjective,,great,1
"maior, maius",greater,25,Adjective,,greater,1
"mālō, mālle, māluī",to prefer,598,Verb,,to prefer,1
"malum, malī, {n.}",evil; calamity,0,Noun,,evil ‖ calamity,1
"malus, mala, malum",bad,227,Adjective,,bad,1
"maneō, manēre, mānsī, mānsum",to remain,357,Verb,,to remain,1
"manus, manūs, {f.}",hand,48,Noun,,hand,1
"Marcius, Marciī, {m.}",Marcius {(the family name of Coriolanus)},0,Noun,,Marcius {(the family name of Coriolanus)},1
"mare, maris, {n.}",sea,125,Noun,,sea,1
"māter, mātris, {f.}",mother,127,Noun,,mother,1
"mātrōna, mātrōnae, {f.}",married woman,0,Noun,,married woman,1
"maximus, maxima, maximum","greatest; {(adverb, *maximē*)} especially",25,Adjective,,"greatest ‖ {(adverb, *maximē*)} especially",1
"melior, melius",better,68,Adjective,,better,1
"mēns, mentis, {f.}",mind,173,Noun,,mind,1
"mēnsa, mēnsae, {f.}",table,747,Noun,,table,1
"mēnsis, mēnsis, {m.}",month,0,Noun,,month,1
"metus, metūs, {m.}",fear,215,Noun,,fear,1
"meus, mea, meum",my,41,Adjective,,my,1
"mīles, mīlitis, {m.}",soldier,161,Noun,,soldier,1
"mīlitia, mīlitiae, {f.}",military service,0,Noun,,military service,1
minimē,"no, not at all",143,Adjective,,"no, not at all",1
"minor, minus",smaller,143,Adjective,,smaller,1
"miser, misera, miserum",wretched,137,Adjective,,wretched,1
"mittō, mittere, mīsī, missum",to send,114,Verb,,to send,1
"mōns, montis, {m.}",mountain,242,Noun,,mountain,1
"mors, mortis, {f.}",death,95,Noun,,death,1
"mortālis, mortāle","mortal, human",950,Adjective,,"mortal, human",1
"mortuus, -a, -um",dead; {(*mortuus est*)} died,0,Adjective,,dead ‖ {(*mortuus est*)} died,1
"moveō, movēre, mōvī, mōtum",to move,192,Verb,,to move,1
mox,soon,469,Adverb,,soon,1
"Mūcius, Mūciī, {m.}",a Roman hero,0,Noun,,a Roman hero,1
"mulier, mulieris, {f.}",woman,961,Noun,,woman,1
"multus, multa, multum",much {(in the singular)}; {(in the plural)} many,43,Adjective,,much {(in the singular)} ‖ {(in the plural)} many,1
"mūniō, mūnīre, mūnīvī, mūnītum",to fortify,0,Verb,,to fortify,1
"mūtō, mūtāre, mūtāvī, mūtātum",to change,315,Verb,,to change,1
nam,"you see, and here's why",61,Conjunction,,"you see, and here's why",1
"nārrō, nārrāre, nārrāvī, nārrātum",to tell,910,Verb,,to tell,1
"nāscor, nāscī, nātus sum",to be born,266,Verb,,to be born,1
"nātūra, nātūrae, {f.}",nature,180,Noun,,nature,1
nē,that not; {(after verbs of fearing)} that,47,Conjunction,,that not ‖ {(after verbs of fearing)} that,1
-ne,question marker {(makes a sentence a question; appears after the first word)},238,Conjunction,,question marker {(makes a sentence a question; appears after the first word)},1
"nefās, nefās, {n.}",impious act,541,Noun,,impious act,1
"neglegō, neglegere, neglēxī, neglēctum",to neglect,0,Verb,,to neglect,1
"negō, negāre, negāvī, negātum",to deny,294,Verb,,to deny,1
neque,and...not; {(*neque ... neque*)} neither ... nor,72,Conjunction,,and...not ‖ {(*neque ... neque*)} neither ... nor,1
"nesciō, nescīre, nescīvī, nescītum",to not know,525,Verb,,to not know,1
"nihil, nīl",nothing,55,Noun,,nothing,1
nimis,too much,841,Adverb,,too much,1
"nōbilis, nōbile",noble,455,Adjective,,noble,1
"nocturnus, nocturna, nocturnum",of the night,0,Adjective,,of the night,1
"nōlī, nōlīte",don't!,0,Verb,,don't!,1
"nōlō, nōlle, nōluī",to not want,458,Verb,,to not want,1
"nōmen, nōminis, {n.}",name,135,Noun,,name,1
nōn,not,6,Adverb,,not,1
nōnne,isn't? surely?,0,Adverb,,isn't? surely?,1
"nōs, nostrī / nostrum, nōbīs, nōs, nōbīs","we, us {(personal pronoun, plural)}",51,Pronoun,,"we, us {(personal pronoun, plural)}",1
"noster, nostra, nostrum",our,52,Adjective,,our,1
"novus, nova, novum",new,139,Adjective,,new,1
"nox, noctis, {f.}",night,119,Noun,,night,1
"nūdus, nūda, nūdum",naked,545,Adjective,,naked,1
"nūllus, nūlla, nūllum",no; no one,49,Adjective,,no ‖ no one,1
numquam,never,251,Adverb,,never,1
nunc,now,50,Adverb,,now,1
"nūntius, nūntiī, {m.}",messenger; message,919,Noun,,messenger ‖ message,1
ō,O,0,Interjection,,O,1
"obscūrus, obscūra, obscūrum",dark,0,Adjective,,dark,1
"oculus, oculī, {m.}",eye,206,Noun,,eye,1
"odium, odiī, {n.}",hatred,522,Noun,,hatred,1
"officium, officiī, {n.}",duty,607,Noun,,duty,1
